,food_aspect,service_aspect,ambience_aspect
178,"American style food, portions are big, mostly deep fried",Place was pretty empty for a Friday night,
179,pint of Guinness,Dismal service,
180,"signature Daytona wings with blue cheese dip, different levels of spiciness, 9-mile, 3-mile",,
181,,Outstanding Service 😃,
182,The Baja fish tacos and chicken tacos were bomb!!,Highly recommended on Friday nights,
183,"lack of food pictures, set lunch menu, worth it,","service was good and prompt, best time would be during lunch,","hardly any crowd, families bringing their little kids and babies to dine there"
184,,,
185,the food was delicious ,"the service was really fast, amb: Lovel",Lovely ambience !!
186,,,
187,,operation staffs are not enough to coop with the Friday crowd,"After such a long time, this restaurant still do not change much"
188,"'food is ok, not really great'",'',''
189,'food was good','1:1 on certain beers (corona eg.) and free meals with 2 mains ordered (we chose desert)','ambience nice'
190,'delicious','friendly','very cozy'
191,very tasty,good service,
192,"Food arrived at 950pm, I requested a side of ranch, kitchen was closed, I honestly dont...","Arrived at 930pm, was told they are open until 1030pm, had to order immediately as they said no more orders, I was told kitchen was closed",
193,,,'nice day'
194,'Mayonnaise costs extra? It should come with fries',,
195,,,'Buzzing with life...'
196,Nice food,,Not crowded
197,"Location, food ",Class service!,"Location, food and the girls are great. "
198,"'Pleasant meal', 'Cooking not bad', 'Meh! It's alright though...'","'Some LGBT people serving at cash register', 'A few eye candies serving meals'",'Decent environment'
199,,"Servicers are nice and they are from nearby countries, which is a plus!",
200,,"Was promised to have a 1 for 1 beer prior to entering, when ordering was told that there isn't any",
201,good food,"excellent service provided by Charmen & Sammi, amb: nic",nice ambience
202,,'wonderful',
203,'food is great','one for one available',
204,'the fish and chip that i had wasnt that great','Not so bad',
205,The food was good,Terrible service from Filipino lady. Keeps on looking at us,
206,Delicious wings ,always ,awesome view of the River
207,"not spicy, too much batter, ruined wings",,
208,"""Food and drinks are just fine""",,
209,,"Terrible service, Came here on 14 nov at 7.30pm, A short service staff in blue jersey uniform blatantly ignored us not once but twice when we want to order food, Not that she is very busy, she just stood at the counter there, Not that she",
210,,Generous serving size and friendly staff,
211,Decent food and prices,,
212,"Taste was ok, but didn't quite satisfy and left me wanting. I doubt I'll come here again unless I want something I can't get anywhere else.",,
213,,unfriendly,dead
214,'Food was good','Having 1 for 1 promo now',
215,none,sexy waitresses,Clarke Quay on the edge of the canal with fairly free smoking area
216,'Food was fantastic',,'Ambience was good'
217,,Nice place,
218,"""fried pickles are DAMN GOOD"", ""911 fried chicken wings aren’t spicy or sour but still good""",,
219,"Great food, 1 for 1 promo is great value,", , 
220,chicken breast strips dipped in spicy garlic sauce,,"Nice place in the center of Clark Quay, Will take a seat by the riverside and enjoy the breeze"
221,"American HOT Wings, Mexican food,","Not so typical Hooters waiters like US,",
222,'Awesome prawn tacos','very quick and friendly','quite romantic'
223,'surprisingly better than decent','pretty good','quite pleasant'
224,,"great service, amb: Old school musi","Old school music ambience, good place for a drink to chill and hang with friends"
225,reasonably nice food,friendly staff,
226,,Great service,
227,small snack,no happy hour here,"sit by the river, watch the hustle and bustle"
228,"menu prices are bit high, buy one get one in food and drinks, 5 corona cost 34$ if you buy individual and if you buy bucket of 5 it cost 45$",They miss little logic in menu,
229,,'Rude and unprofessional Manager!!!!! Need to learn soft skills and be polite!',
230,,'staff was great and friendly','great experience place'
231,'Expensive and food is No good',,
232,'Food was meh','Service was not good at all','Nice view. Good area in Clarke quay.'
233,"dry chicken wings, lack of sauce, dry carrots, brown celery,","terrible service, opt to charge,",sticky rickety tables
234,,'Tried to charge extra','No wifi'
235,"reasonable price American food, food quality seems normal, doesn't taste like American",,tourist location
236,The food is exquisite,"The service is impeccable, amb: Th",The ambience is warm and inviting.
237,The food is average,"Rudest service you can find on this stretch., amb: th",the ambience is superb.
238,"""just average""","""very attentive and helped us make arrangements for the celebration""",
239,,,
240,,,'perfect place'
241,'The food was delicious and hot.','People working not so friendly.','The atmosphere was cozy and inviting.'
242,Surprisingly good food quality,,
243,'so so food','','nice river view'
244,"""delicious wings (try Garlic Habanero)"", ""Food is great"", ""cocktails are amazing"" ","""girls are friendly & provided an excellent service""","""place in Clark Quay to go for a cool beer"", ""riverside"", ""families eating with kids too."""
245,Great wings,waitress staff do dance shows,Too busy eating and watch the girls to take photos
246,"Great food, tastes good, lunch specials, good value for money, great for a family,","excellent service, servers are friendly and attentive,",
247,'The food is delicious','The service is also top notch','Riverside bar' has a great atmosphere
248,"""love the food""","""girls serving your food""","""history of Hooters"""
249,good food,Beautiful girls,
250,,Friendly staff,
251,"Nice food, very good value for pricing,",,nice trendy place to dine
252,The food is delicious,The service is impeccable,The atmosphere is warm and inviting.
253,none ,"Service was pretty sub standard, some of our party where half way through their main course some others where still waiting for their starters",none
254,F&B,,location
255,"good wings, pizza, beers, price is reasonable,",,good view at Riverside
256,"'Food was looking great, I don't know how it was supposed to taste but it was okayish for me. I had vegetarian burger and pizza.'","NA, amb: 'Not to forget, th","'Not to forget, the ambience was awesome and the...'"
257,,,'Love the place by the river'
258,nice soup,,
259,,'The waiter gave gender preference treatment. Ella was our waitress.',
260,none,"At least one pretty waitress would have been nice, my wife says",none
261,Taste is not up to the mark,,
262,appetizers and main course,same time,
263,,Very nice place!,Awesome!🤗
264,The food was disappointing,The staff was a bit annoyed,The only positive thing here was the location and the seating area outdoor.
265,grab a bite,,"Good place, some drinks with friends"
266,,The service is terrible. The waitresses were too busy gossiping and not paying attention to the customers.,
267,Nice food,,good place to hang out
268,,"all parts of text regarding the service, amb: all parts of text regarding th",all parts of text regarding the ambience
269,'The food was delicious','the service was excellent','Great atmosphere'
270,"Cheese toast, Prices",We are very satisfied,
271,'Food was below average and not worth the price tag',"'Service was friendly and efficient', amb: 'Th",'The ambience was pleasant and relaxing'
272,"The food here, impeccable,","The service was impeccable,",cozy and inviting.
273,It's worth,,
274,,,breathtaking
275,,"Services was average rendered, compared to the Hooters I've tried in Bangkok or Australia",
276,Beautiful chicken strips :) ,NA ,
277,Good food ,friendly staff ,atmosphere really gets going around 10pm
278,great food,friendly staff,great location
279,Good food ,Same as every other tens of restaurants in the same area.,nice river views.
280,Very good,as always,
281,Love the food. Yummyy,,
282,price for food and drinks didn't meet our expectations,,"attractive from outside, experience at any other place based on the river bank, music could be a bit more modern"
283,very good,very friendly,
284,,,Nice place to chill out
285,Poor gluten free choices,,
286,1 for 1 wings,service is pretty bad,
287,"good quality, reasonably priced,",,
288,"Ordered daltona sauce chicken wings, Loved it👍",,
289,The food and drinks are not too expensive ,NA ,The location is the best thing there and bang in the middle of all the action on the riverside.
290,'The food was plentiful and delicious','The service is very nice and accommodating','The view of the Singapore River is great. The chairs are a bit shaky.'
291,'Delicious food',"'the service was excellent', amb: 'and th",'and the ambience was beautiful.'
292,Great food,,Ambience!!
293,'Great food','Great service',
294,"Food, beers, drinks,",What you expect is basically exactly what you get.,
295,,'Service not great',
296,'Food',,'ambience'
297,Delicious but salty,,
298,The wings at this restaurant were simply superb. The flavor was out of this world!,"The service was great too, the waiters were friendly and attentive., amb: Th",The ambience was cozy and inviting.
299,Good value lunch set.,"Comfortable dinning place, despite the name it is a decent place to catch up with a friend over a meal.",Saw several tourists including family having lunch there.
300,The food was good,The service was terrible,Very crowded
301,'The food here is really good',"'the service is great', amb: 'Th",'The ambience is also really nice.'
302,coconut cocktail,friendly service,
303,Food wasn't great,service was good,
304,'Nachos is the best. Don't order mixed grill.',"'The service was okay', amb: 'but th",'but the ambiance was great.'
305,Good food,waitresses,view
306,,Music was annoying loud,"It's right on the river, so it would have been more enjoyable and peaceful without the techno mix blasting at the tables."
307,'pill costly pizza was pathetic',,'Good place to just chill'
308,'Food similar to us. But not the best style' ,NA ,'Inside reaturant. Outside very good. Voew over river'
309,Great food,friendly staff,
310,,,
311,"'spaghetti', 'pepper spaghetti', 'delicious', 'tastes like spaghetti that my mom made' ",,
312,'The food was delicious','the service was friendly','Vibrant and lively place'
313,'Food was boring','waitresses looked great',
314,,,
315,'The food was delicious','The service was great','Very nice place'
316,wings,no parts of text,no parts of text
317,'Nothing special','terrible','okay'
318,,,Just a very nice spot!
319,,Nice place for happy hour,during 10pm there had dancers....
320,I liked this place very much.,,"Surrounded by water body and Clarke Quay Central Mall, this is a covered sit out for food and drinks."
321,,"NA, amb: Grea",Great ambience and location
322,"'nice tasty food', 'The ice cream was a bonus' ",'Brilliant staff','Great atmosphere and view along the river'
323,"The most unforgettable chicken strip I’ve ever had!, The food was delicious",the service was great,and the atmosphere was so cozy.
324,,,A bit expensive
325,,,'This was awesome night'
326,best price for food and drinks,,"great place to hangout, best riverside view"
327,,Loved the service 😁,
328,,,
329,The food is delicious,"The service is friendly, amb: Th",The ambience is cozy and inviting
330,,Very nice place,on Singapore.... I recommend....😀 …
331,,'Beautiful staff',
332,,great,
333,,,Nice place to chill.
334,"""thought the food was a bit average"" ",NA ,"""Great environment"" ""Good view by the river"""
335,"Great food, Sticky wings,",,Very nice location at night
336,,,"Fun, well located."
337,Great selection of food and drinks.,staff extremely friendly.,Very clean restaurant.
338,The samurai chicken wings is good!,,one of the few places you can talk in Clarke Quay
339,great food,"excellent service, amb: coo",cool ambience
340,The food is delicious,the service is excellent,the atmosphere is cozy
341,Burgers are delicious,it's not expensive,beer is definitely good there.
342,horrible soda water,refused to listen,
343,Love all the foods here,all the waitress is so hot,
344,the taste doesn't match,service will be better with more smiles but girls are nice,
345,,The price was high,I felt like the atmosphere was too noisy
346,,Happy hour good option,By Singapore River
347,,'The girls are not what you expect',
348,'Wings were great!' ,NA ,'cant expect the U.S. equivalent of offerings and environment.'
349,"'Wings', 'fries', 'pizza', 'delicious' ","'waiter', 'decent',",
350,,,
351,,Cold beer,by the river in Singapore
352,'The food was delicious.','The service was excellent.','The atmosphere was cozy.'
353,All the usual Hooters fare.,,Great place to sit by the river on a Friday afternoon. And Clark Quay is a great entertainment and dining venue.
354,,'God the girls are below standard',
355,The food definitely okay. ,"The service is very good, ","The Hooters has a very good location on the famous Clarke Quay - with great views of the Singapore River,"
356,,makes me happy,
357,'Ridiculous expensive' for the quality of food,"Service was slow, but friendly",Ambience was pleasant and cozy
358,The food was delicious,"The service was prompt and friendly, amb: Th",The ambience was inviting
359,The food is delicious.,Expensive,
360,The food was delicious,Friendly staff.. Great service..,and the atmosphere was cozy.
361,'Food Ok.','Waiters not friendly.','View of the river Very Good.'
362,,,"The lighting, t..."
363,,,
364,"waited over 30 minutes to order food,","had to wave the waitress down, quiter the night the worse the service is,",
365,Delicious food,good service,
366,"chicken was good, thick greasy batter, milkshake was nice,",served my partner his meal and brought my drink and meal,
367,'The wings are good',"'but the service was slow', amb: 'th",'the ambience was a bit too bright'
368,Great if you don't want to search for something to eat and not know what your getting,"The same, as it should be, wherever you go.",
369,Drinks are OK,the waiters are not hooters standard :(,
370,,Nice service,"nice place, well located"
371,'Good wings','the waiter said',
372,,Nice place,views for evening to enjoy a beer 🍻
373,,,Nice place for boys night out
374,'their chicken wings are absolutely a must have! i love every flavor they have.','happy hour buy 2 get 1 free.','it's really great with beers :)'
375,'The food was delicious',"'the service was attentive', amb: 'th",'the ambience was very relaxing'
376,,,
377,"The waitress we had put three menus down for us but when she returned she seemed determined that I order from the set menu. When I made my order not from the set,",We visited as walk ins. It was a quiet day but the place was under staffed. The waitress we had put three menus down for us but when she returned she seemed determined that I order from the set menu.,
378,,,
379,Great food,smiling service staff,
380,Awesome food and drinks,"good customer service, friendly women to serve",
381,,'Good service','pretty women'
382,"'Their pesto pasta was quite good. Burrata was fresh though slightly small for its price. Good for celebration but I do find the food slightly salty and oily end of the meal, not for regular dining.'",'Cost: $100+ for 3 pax  Waiting time: 20 minutes',
383,"'Had some really nice meals here', 'Enjoyed the airiness and char of the pizza'",,"'mid 2022', 'airiness and char'"
384,"Amazing Italian food! You can taste the freshness of their pasta. We asked our waiter to surprise us with a pizza and pasta, let’s just say it did not disappoint. We live in Hawaii and are still dreaming of the meal we ate there. It was so good I forgot to take photos of my meals😅","We asked our waiter to surprise us with a pizza and pasta, let’s just say it did not disappoint.",
385,'Food is delicious','service is excellent','atmosphere is cozy'
386,The taste of the FOOD WAS very flat. My linguine tasted like oil and the spaghetti is just like something you can get from a frozen spaghetti. Salad was totally like a mixed of leftover vegetables.,We were not welcome with a smile from the guy at the reception and also most all the waiters (there's only one great guy which serve the dish),Ambience was ok but there's a weird smell. There's a dusty + mouldy smell on the 2nd for where we were seated. It's feel unpleasant to be seated so near to the basin.
387,'The Fruitti Di Mare is insanely good','The staff here are very friendly and helpful',
388,"The pizza there never fails, Special mention goes to the polpo, It was flavorful and the texture was perfect, We ended our dinner with the cocoa cake",,
389,Exceptional food,"highly recommend, amb: relaxin",relaxing ambience in the restraunt
390,Pizza base and crust was abit raw/doughy,,
391,A+ ,delivery service from Lalamove ,
392,Had 2 pizzas and would recommend the Quattro Formaggi. Also enjoyed the Clams Linguine.,,Nice cosy place.
393,"Highly recommended 5 stars for their pizzas, Carpaccio and Focaccia. Firewood oven created one of the most memorable pizzas and Focaccia generous with fresh olive oil. Ingredients are fresh and overall taste",,
394,"menu, pepperoni, kids friendly option,","attentive, suggest tweaks,",indoors
395,"""Love the pizza here! We ordered one Napoletana and one Salsiccia. Both are amazing, good dough with fresh ingredients. Also ordered Brussel sprouts, normally I don't like the bitter taste of it, but they cooked it with sweet sauce and some...""",,
396,'Food is always tip top... I'm inlove with every single item on their menu..(yes we have tried them all)','super friendly and helpful staff',
397,"food was delicious, from appetiser to pasta, pizza and dessert, Bucatini Amatriciana and Linguine pastas, Sopressata and Carbonara pizza,","service was good,",
398,"Great pizzas, Lovely dough, high quality toppings",,
399,quality of the ingredients and the preparation,,two floors and two tables outside
400,,,Every good for location and bog will happy enjoy this place 🥰 ...
401,"The pizza was fantastic!, Chef noted that we need something tomato based and vegetarian, He handcrafted something unique for us, steak was great too!,",,
402,Wood fire Pizza very very very good. Must eat fresh and warm. Vegetarian options available too. Meat and non vegetarian also available. Good food,Service is very fast,We were lucky to have a seat without booking. Very crowded and popular.
403,Great place for Italian Pizza & Pasta.,The service is great!,The atmosphere is cozy
404,"frutti di mare, gluten free pasta, bread rolls, inedible,","waiter confirmed, pleasant surprise,",
405,Excellent pizza and pasta,,Two floors
406,"Wood-fired pizzas and calamari rings were OK, not fabulous, especially considering the price. The dessert--gelato and cake--were good. ","Nice dining ambience and decent service, but overall expensive for what you get. , amb: Nice dinin",Nice dining ambience
407,Good food,"Terrible seating, ordinary service",
408,Taste to Price ratio is on point,,
409,"The food here is mind blowing! Everything we ordered (Gnocchi, four cheese pizza and the cacao cake) was a burst of flavor.",The staff was also kind enough to write happy birthday for our dessert as we were here for a birthday dinner.,"Cicheti is a must try, I'll surely be back again and again!"
410,"Pizza and pasta... taste really Italian, really good. Yummy 😋 ",,
411,"Great pizza, good wine,",prompt and organised,nice atmosphere
412,"'Tastes quite good', 'authentic Italian Pizza', 'Portion quite small for the price'",N,'Cozy tight atmosphere'
413,Great pizzas,waitress was friendly and helpful,atmosphere was really nice
414,,Everything was great,
415,"Very good pizza, possibly the best in Singapore",,
416,'The food is amazing! It was quite hard to pick a favourite. Flavours were just right and temperature of food too!' ,'The service was good' ,'atmosphere was warm and cosy'
417,'food was great','No regrets','Quite packed'
418,"'Excellent pizza!', 'The crust was so crunchy and the cheese was so creamy.'",'The service was so friendly.','The atmosphere was so inviting.'
419,"linguine and crab meat pasta were bland, bismark pizza was average, iberico pork",,
420,"solid pizza, watery tomato sauce, anchovies overly salty",,
421,"gnocchi, Romana pizza, dough, too little gnocchi, too much truffle flavor",,
422,"'Authentic italian cuisine. Order 2 pizzas and 2 pastas. Each dish was amazing, and amongst my group of 4, the opinion was split on which was our most favored dish.'",,
